CODEREG,NOM_REGION,CODEDIST,NOM_DISTRI,CODECOM,NOM_COMMUN,ETAT_COMMU,SOURCE,HECTARES,MIS_A_JOUR
"14",VAKINANKARATRA,"1405",MANDOTO,"140509",Anjoma Ramartina,,terrain,168150.823,"2002"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140102",Ambatondrakalavao,,terrain,5006.187,"2002"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140103",Ambodifarihy Fenomanana,,,5304.131,"2000"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140205",Ambohimandroso,,terrain,8200.215,"2002"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140108",Antakasina,,,19549.601,"2000"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140608",Vinaninony Avaratra,,,7372.844,"2000"
"14",VAKINANKARATRA,"1405",MANDOTO,"140520",Mandoto,,terrain,31208.990,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140415",Mandrosohasina,,,12468.475,"2000"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140111",Antsampandrano,,terrain,11350.088,"2002"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140609",Vinaninony Atsimo,,terrain,35621.509,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140405",Ambohibary,,terrain,19207.398,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140705",Ambohimasina,,,18514.258,"2000"
"14",VAKINANKARATRA,"1405",MANDOTO,"140510",Ankazomiriotra,,terrain,30871.207,"2007"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140207",Ampitatafika,,terrain,14318.588,"2002"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140210",Antsahalava,,commune,11292.254,"2004"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140204",Ambodiriana,,terrain,8450.481,"2002"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140209",Antanifotsy,,terrain,32681.388,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140712",Inanantonana,,,20122.914,"2002"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140118",Tsinjoarivo,,terrain,32222.205,"2002"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140105",Andranovelona,,,8907.915,"2000"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140403",Ambano,,terrain,15127.386,"2002"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140202",Ambatomiady,,terrain,15341.409,"2002"
"14",VAKINANKARATRA,"1405",MANDOTO,"140525",Vasiana,,,150439.520,"2000"
"14",VAKINANKARATRA,"1407",BETAFO,"140715",Manohisoa,nouvelle,commune,19162.385,"2006"
"14",VAKINANKARATRA,"1407",BETAFO,"140703",Ambatonikolahy,,terrain,21425.133,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140412",Antsoantany,,,8269.829,"2000"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140206",Ambohitompoina,,terrain,60477.921,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140409",Andranomanelatra,,terrain,15083.132,"2004"
"14",VAKINANKARATRA,"1407",BETAFO,"140709",Antohobe,nouvelle,commune,11507.593,"2006"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140212",Belanitra,nouvelle,commune,23290.893,"2006"
"14",VAKINANKARATRA,"1407",BETAFO,"140704",Ambohimanambola,,terrain,50947.718,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140401",Alakamisy,,terrain,5265.570,"2002"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140208",Andranofito,,,13899.643,"2000"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140201",Ambatolahy,,,9808.764,"2000"
"14",VAKINANKARATRA,"1407",BETAFO,"140710",Antsoso,,commune,4582.558,"2004"
"14",VAKINANKARATRA,"1407",BETAFO,"140716",Soavina,,,13787.104,"2000"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140404",Ambatomena,,,14673.894,"2000"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140407",Ambohimiarivo,,,6365.530,"2000"
